"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
13060,"$200,000 or more",30
13061,Total,500
13061,"$1 under $25,000",100
13061,"$25,000 under $50,000",130
13061,"$50,000 under $75,000",90
13061,"$75,000 under $100,000",60
13061,"$100,000 under $200,000",100
13061,"$200,000 or more",20
13063,Total,870
13063,"$1 under $25,000",210
13063,"$25,000 under $50,000",170
13063,"$50,000 under $75,000",140
13063,"$75,000 under $100,000",110
13063,"$100,000 under $200,000",190
13063,"$200,000 or more",50
13066,Total,"6,760"
13066,"$1 under $25,000","1,600"
13066,"$25,000 under $50,000","1,100"
13066,"$50,000 under $75,000",880
13066,"$75,000 under $100,000",670
13066,"$100,000 under $200,000","1,520"
13066,"$200,000 or more",990
13068,Total,"2,650"
13068,"$1 under $25,000",780
13068,"$25,000 under $50,000",700
13068,"$50,000 under $75,000",410
13068,"$75,000 under $100,000",300
13068,"$100,000 under $200,000",390
13068,"$200,000 or more",70
13069,Total,"10,850"
13069,"$1 under $25,000","3,810"
13069,"$25,000 under $50,000","3,000"
13069,"$50,000 under $75,000","1,670"
13069,"$75,000 under $100,000","1,050"
13069,"$100,000 under $200,000","1,170"
13069,"$200,000 or more",150
13071,Total,450
13071,"$1 under $25,000",130
13071,"$25,000 under $50,000",130
13071,"$50,000 under $75,000",70
13071,"$75,000 under $100,000",50
13071,"$100,000 under $200,000",70
13071,"$200,000 or more",**
13072,Total,350
13072,"$1 under $25,000",120
13072,"$25,000 under $50,000",110
13072,"$50,000 under $75,000",50
13072,"$75,000 under $100,000",30
13072,"$100,000 under $200,000",40
13072,"$200,000 or more",**
13073,Total,"3,000"
13073,"$1 under $25,000",890
13073,"$25,000 under $50,000",790
13073,"$50,000 under $75,000",510
13073,"$75,000 under $100,000",350
13073,"$100,000 under $200,000",410
13073,"$200,000 or more",50
13074,Total,"1,860"
13074,"$1 under $25,000",620
13074,"$25,000 under $50,000",510
13074,"$50,000 under $75,000",300
13074,"$75,000 under $100,000",190
13074,"$100,000 under $200,000",240
13074,"$200,000 or more",**
13076,Total,"1,090"
13076,"$1 under $25,000",300
13076,"$25,000 under $50,000",300
13076,"$50,000 under $75,000",200
13076,"$75,000 under $100,000",120
13076,"$100,000 under $200,000",170
13076,"$200,000 or more",**
13077,Total,"3,400"
13077,"$1 under $25,000","1,010"
13077,"$25,000 under $50,000",900
13077,"$50,000 under $75,000",580
13077,"$75,000 under $100,000",380
13077,"$100,000 under $200,000",450
13077,"$200,000 or more",80
13078,Total,"4,640"
13078,"$1 under $25,000","1,120"
13078,"$25,000 under $50,000",720
13078,"$50,000 under $75,000",550
13078,"$75,000 under $100,000",460
13078,"$100,000 under $200,000","1,020"
13078,"$200,000 or more",770
13080,Total,"1,680"
13080,"$1 under $25,000",460
13080,"$25,000 under $50,000",420
13080,"$50,000 under $75,000",300
13080,"$75,000 under $100,000",200
13080,"$100,000 under $200,000",270
13080,"$200,000 or more",30
13081,Total,490
13081,"$1 under $25,000",130
13081,"$25,000 under $50,000",100
13081,"$50,000 under $75,000",90
13081,"$75,000 under $100,000",60
13081,"$100,000 under $200,000",90
13081,"$200,000 or more",20
13082,Total,"2,330"
13082,"$1 under $25,000",710
13082,"$25,000 under $50,000",610
13082,"$50,000 under $75,000",370
13082,"$75,000 under $100,000",260
13082,"$100,000 under $200,000",340
13082,"$200,000 or more",40
13083,Total,770
13083,"$1 under $25,000",230
13083,"$25,000 under $50,000",200
13083,"$50,000 under $75,000",130
13083,"$75,000 under $100,000",90
13083,"$100,000 under $200,000",120
13083,"$200,000 or more",**
13084,Total,"2,230"
13084,"$1 under $25,000",550
13084,"$25,000 under $50,000",550
13084,"$50,000 under $75,000",390
13084,"$75,000 under $100,000",250
13084,"$100,000 under $200,000",390
13084,"$200,000 or more",100
13088,Total,"12,060"
13088,"$1 under $25,000","3,320"
13088,"$25,000 under $50,000","3,500"
13088,"$50,000 under $75,000","2,270"
13088,"$75,000 under $100,000","1,280"
13088,"$100,000 under $200,000","1,450"
13088,"$200,000 or more",240
13090,Total,"16,030"
13090,"$1 under $25,000","4,370"
13090,"$25,000 under $50,000","3,810"
13090,"$50,000 under $75,000","2,690"
13090,"$75,000 under $100,000","1,810"
13090,"$100,000 under $200,000","2,810"
13090,"$200,000 or more",540
13092,Total,"1,130"
13092,"$1 under $25,000",330
13092,"$25,000 under $50,000",340
13092,"$50,000 under $75,000",180
13092,"$75,000 under $100,000",110
13092,"$100,000 under $200,000",170
13092,"$200,000 or more",**
13101,Total,"1,210"
13101,"$1 under $25,000",370
13101,"$25,000 under $50,000",370
13101,"$50,000 under $75,000",210
13101,"$75,000 under $100,000",130
13101,"$100,000 under $200,000",130
13101,"$200,000 or more",**
13103,Total,170
13103,"$1 under $25,000",80
13103,"$25,000 under $50,000",50
13103,"$50,000 under $75,000",40
13103,"$75,000 under $100,000",**
13103,"$100,000 under $200,000",**
13103,"$200,000 or more",**
13104,Total,"7,720"
13104,"$1 under $25,000","1,830"
13104,"$25,000 under $50,000","1,170"
13104,"$50,000 under $75,000",900
13104,"$75,000 under $100,000",710
13104,"$100,000 under $200,000","1,730"
13104,"$200,000 or more","1,380"
13108,Total,"3,110"
13108,"$1 under $25,000",860
13108,"$25,000 under $50,000",570
13108,"$50,000 under $75,000",440
13108,"$75,000 under $100,000",360
13108,"$100,000 under $200,000",710
13108,"$200,000 or more",170
13110,Total,"1,200"
13110,"$1 under $25,000",310
13110,"$25,000 under $50,000",260
13110,"$50,000 under $75,000",190
13110,"$75,000 under $100,000",140
13110,"$100,000 under $200,000",240
13110,"$200,000 or more",60
13111,Total,740
13111,"$1 under $25,000",270
13111,"$25,000 under $50,000",210
13111,"$50,000 under $75,000",120
13111,"$75,000 under $100,000",70
13111,"$100,000 under $200,000",70
13111,"$200,000 or more",**
13112,Total,930
13112,"$1 under $25,000",260
13112,"$25,000 under $50,000",210
13112,"$50,000 under $75,000",130
13112,"$75,000 under $100,000",110
13112,"$100,000 under $200,000",190
13112,"$200,000 or more",30
13114,Total,"3,010"
13114,"$1 under $25,000",890
13114,"$25,000 under $50,000",800
13114,"$50,000 under $75,000",460
13114,"$75,000 under $100,000",340
13114,"$100,000 under $200,000",460
13114,"$200,000 or more",60
13116,Total,"1,790"
13116,"$1 under $25,000",450
13116,"$25,000 under $50,000",480
13116,"$50,000 under $75,000",300
13116,"$75,000 under $100,000",190
13116,"$100,000 under $200,000",310
13116,"$200,000 or more",60
13118,Total,"2,440"
13118,"$1 under $25,000",730
13118,"$25,000 under $50,000",640
13118,"$50,000 under $75,000",420
13118,"$75,000 under $100,000",260
13118,"$100,000 under $200,000",350
13118,"$200,000 or more",40
13120,Total,"1,160"
13120,"$1 under $25,000",430
13120,"$25,000 under $50,000",330
13120,"$50,000 under $75,000",200
13120,"$75,000 under $100,000",100
13120,"$100,000 under $200,000",100
13120,"$200,000 or more",**
13122,Total,520
13122,"$1 under $25,000",150
13122,"$25,000 under $50,000",130
13122,"$50,000 under $75,000",80
13122,"$75,000 under $100,000",60
13122,"$100,000 under $200,000",80
13122,"$200,000 or more",20
13126,Total,"14,440"
13126,"$1 under $25,000","4,840"
13126,"$25,000 under $50,000","3,430"
13126,"$50,000 under $75,000","2,080"
13126,"$75,000 under $100,000","1,570"
13126,"$100,000 under $200,000","2,160"
13126,"$200,000 or more",360
13131,Total,"1,800"
13131,"$1 under $25,000",550
13131,"$25,000 under $50,000",500
13131,"$50,000 under $75,000",320
13131,"$75,000 under $100,000",180
13131,"$100,000 under $200,000",230
13131,"$200,000 or more",20
13132,Total,"1,940"
13132,"$1 under $25,000",590
13132,"$25,000 under $50,000",510
13132,"$50,000 under $75,000",290
13132,"$75,000 under $100,000",210
13132,"$100,000 under $200,000",300
13132,"$200,000 or more",40
13135,Total,"3,090"
13135,"$1 under $25,000","1,020"
13135,"$25,000 under $50,000",760
13135,"$50,000 under $75,000",440
13135,"$75,000 under $100,000",300
13135,"$100,000 under $200,000",470
13135,"$200,000 or more",100
13136,Total,210
13136,"$1 under $25,000",80
13136,"$25,000 under $50,000",60
13136,"$50,000 under $75,000",50
13136,"$75,000 under $100,000",**
13136,"$100,000 under $200,000",20
13136,"$200,000 or more",**
13140,Total,"1,900"
13140,"$1 under $25,000",610
13140,"$25,000 under $50,000",550
13140,"$50,000 under $75,000",340
13140,"$75,000 under $100,000",190
13140,"$100,000 under $200,000",210
13140,"$200,000 or more",**
13141,Total,330
13141,"$1 under $25,000",100
13141,"$25,000 under $50,000",90
13141,"$50,000 under $75,000",60
13141,"$75,000 under $100,000",30
13141,"$100,000 under $200,000",50
13141,"$200,000 or more",**
13142,Total,"2,890"
13142,"$1 under $25,000",950
13142,"$25,000 under $50,000",720
13142,"$50,000 under $75,000",470
13142,"$75,000 under $100,000",280
13142,"$100,000 under $200,000",420
13142,"$200,000 or more",50
13143,Total,"1,200"
13143,"$1 under $25,000",390
13143,"$25,000 under $50,000",320
13143,"$50,000 under $75,000",200
13143,"$75,000 under $100,000",130
13143,"$100,000 under $200,000",160
13143,"$200,000 or more",**
13144,Total,530
13144,"$1 under $25,000",190
13144,"$25,000 under $50,000",150
13144,"$50,000 under $75,000",90
13144,"$75,000 under $100,000",50
13144,"$100,000 under $200,000",50
13144,"$200,000 or more",**
13145,Total,840
13145,"$1 under $25,000",290
13145,"$25,000 under $50,000",200
13145,"$50,000 under $75,000",140
13145,"$75,000 under $100,000",100
13145,"$100,000 under $200,000",110
13145,"$200,000 or more",**
13146,Total,940
13146,"$1 under $25,000",310
13146,"$25,000 under $50,000",260
13146,"$50,000 under $75,000",180
13146,"$75,000 under $100,000",100
13146,"$100,000 under $200,000",90
13146,"$200,000 or more",**
13147,Total,490
13147,"$1 under $25,000",150
13147,"$25,000 under $50,000",140
13147,"$50,000 under $75,000",90
13147,"$75,000 under $100,000",50
13147,"$100,000 under $200,000",60
13147,"$200,000 or more",**
13148,Total,"5,020"
13148,"$1 under $25,000","1,700"
13148,"$25,000 under $50,000","1,360"
13148,"$50,000 under $75,000",780
13148,"$75,000 under $100,000",450
13148,"$100,000 under $200,000",620
13148,"$200,000 or more",110
13152,Total,"4,160"
13152,"$1 under $25,000","1,050"
13152,"$25,000 under $50,000",650
13152,"$50,000 under $75,000",500
13152,"$75,000 under $100,000",420
13152,"$100,000 under $200,000",890
13152,"$200,000 or more",650
13155,Total,260
13155,"$1 under $25,000",80
13155,"$25,000 under $50,000",80
13155,"$50,000 under $75,000",40
13155,"$75,000 under $100,000",30
13155,"$100,000 under $200,000",30
13155,"$200,000 or more",**
13156,Total,870
13156,"$1 under $25,000",250
13156,"$25,000 under $50,000",210
13156,"$50,000 under $75,000",140
13156,"$75,000 under $100,000",100
13156,"$100,000 under $200,000",170
13156,"$200,000 or more",**
13158,Total,630
13158,"$1 under $25,000",190
13158,"$25,000 under $50,000",190
13158,"$50,000 under $75,000",110
13158,"$75,000 under $100,000",70
13158,"$100,000 under $200,000",70
13158,"$200,000 or more",**
13159,Total,"2,620"
13159,"$1 under $25,000",690
13159,"$25,000 under $50,000",590
13159,"$50,000 under $75,000",360
13159,"$75,000 under $100,000",300
13159,"$100,000 under $200,000",520
13159,"$200,000 or more",160
13160,Total,990
13160,"$1 under $25,000",280
13160,"$25,000 under $50,000",260
13160,"$50,000 under $75,000",170
13160,"$75,000 under $100,000",110
13160,"$100,000 under $200,000",140
13160,"$200,000 or more",30
13164,Total,"1,300"
13164,"$1 under $25,000",350
13164,"$25,000 under $50,000",260
13164,"$50,000 under $75,000",180
13164,"$75,000 under $100,000",130
13164,"$100,000 under $200,000",310
13164,"$200,000 or more",70
13165,Total,"5,050"
13165,"$1 under $25,000","1,760"
13165,"$25,000 under $50,000","1,460"
13165,"$50,000 under $75,000",820
13165,"$75,000 under $100,000",460
13165,"$100,000 under $200,000",490
13165,"$200,000 or more",60
13166,Total,"2,600"
13166,"$1 under $25,000",780
13166,"$25,000 under $50,000",680
13166,"$50,000 under $75,000",470
13166,"$75,000 under $100,000",280
13166,"$100,000 under $200,000",350
13166,"$200,000 or more",40
13167,Total,"1,620"
13167,"$1 under $25,000",450
13167,"$25,000 under $50,000",460
13167,"$50,000 under $75,000",260
13167,"$75,000 under $100,000",170
13167,"$100,000 under $200,000",250
13167,"$200,000 or more",30
13202,Total,"2,250"
13202,"$1 under $25,000","1,090"
13202,"$25,000 under $50,000",510
13202,"$50,000 under $75,000",290
13202,"$75,000 under $100,000",120
13202,"$100,000 under $200,000",170
13202,"$200,000 or more",70
13203,Total,"6,530"
13203,"$1 under $25,000","3,010"
13203,"$25,000 under $50,000","2,060"
13203,"$50,000 under $75,000",700
13203,"$75,000 under $100,000",290
13203,"$100,000 under $200,000",340
13203,"$200,000 or more",130
13204,Total,"8,220"
13204,"$1 under $25,000","4,020"
13204,"$25,000 under $50,000","2,550"
13204,"$50,000 under $75,000",930
13204,"$75,000 under $100,000",380
13204,"$100,000 under $200,000",280
13204,"$200,000 or more",60
13205,Total,"7,410"
13205,"$1 under $25,000","3,590"
13205,"$25,000 under $50,000","2,300"
13205,"$50,000 under $75,000",850
13205,"$75,000 under $100,000",350
13205,"$100,000 under $200,000",290
13205,"$200,000 or more",30
13206,Total,"8,530"
13206,"$1 under $25,000","3,030"
13206,"$25,000 under $50,000","2,930"
13206,"$50,000 under $75,000","1,370"
13206,"$75,000 under $100,000",630
13206,"$100,000 under $200,000",510
13206,"$200,000 or more",60
13207,Total,"6,250"
13207,"$1 under $25,000","2,500"
13207,"$25,000 under $50,000","1,850"
13207,"$50,000 under $75,000",860
13207,"$75,000 under $100,000",470
13207,"$100,000 under $200,000",470
13207,"$200,000 or more",100
13208,Total,"9,670"
13208,"$1 under $25,000","4,660"
13208,"$25,000 under $50,000","3,160"
13208,"$50,000 under $75,000","1,050"
13208,"$75,000 under $100,000",470
13208,"$100,000 under $200,000",330
13208,"$200,000 or more",**
13209,Total,"6,920"
13209,"$1 under $25,000","2,220"
13209,"$25,000 under $50,000","2,040"
13209,"$50,000 under $75,000","1,140"
13209,"$75,000 under $100,000",670
13209,"$100,000 under $200,000",750
13209,"$200,000 or more",100
13210,Total,"6,430"
13210,"$1 under $25,000","2,850"
13210,"$25,000 under $50,000","1,730"
13210,"$50,000 under $75,000",750
13210,"$75,000 under $100,000",410
13210,"$100,000 under $200,000",550
13210,"$200,000 or more",140
13211,Total,"3,280"
13211,"$1 under $25,000","1,190"
13211,"$25,000 under $50,000","1,190"
13211,"$50,000 under $75,000",530
13211,"$75,000 under $100,000",210
13211,"$100,000 under $200,000",160
13211,"$200,000 or more",**
13212,Total,"10,870"
13212,"$1 under $25,000","3,260"
13212,"$25,000 under $50,000","3,210"
13212,"$50,000 under $75,000","1,880"
13212,"$75,000 under $100,000","1,160"
13212,"$100,000 under $200,000","1,200"
13212,"$200,000 or more",160
13214,Total,"3,790"
13214,"$1 under $25,000","1,050"
13214,"$25,000 under $50,000",840
13214,"$50,000 under $75,000",540
13214,"$75,000 under $100,000",430
13214,"$100,000 under $200,000",740
13214,"$200,000 or more",190
13215,Total,"7,290"
13215,"$1 under $25,000","1,970"
13215,"$25,000 under $50,000","1,230"
13215,"$50,000 under $75,000",970
13215,"$75,000 under $100,000",730
13215,"$100,000 under $200,000","1,750"
13215,"$200,000 or more",640
13219,Total,"8,470"
13219,"$1 under $25,000","2,290"
13219,"$25,000 under $50,000","2,030"
13219,"$50,000 under $75,000","1,590"
13219,"$75,000 under $100,000",980
13219,"$100,000 under $200,000","1,380"
13219,"$200,000 or more",200
13224,Total,"4,230"
13224,"$1 under $25,000","1,440"
13224,"$25,000 under $50,000","1,010"
13224,"$50,000 under $75,000",550
13224,"$75,000 under $100,000",340
13224,"$100,000 under $200,000",610
13224,"$200,000 or more",280
13302,Total,680
13302,"$1 under $25,000",270
13302,"$25,000 under $50,000",200
13302,"$50,000 under $75,000",90
13302,"$75,000 under $100,000",60
13302,"$100,000 under $200,000",60
13302,"$200,000 or more",**
13303,Total,550
13303,"$1 under $25,000",150
13303,"$25,000 under $50,000",140
13303,"$50,000 under $75,000",90
13303,"$75,000 under $100,000",60
13303,"$100,000 under $200,000",110
13303,"$200,000 or more",**
13304,Total,920
13304,"$1 under $25,000",230
13304,"$25,000 under $50,000",200
13304,"$50,000 under $75,000",140
13304,"$75,000 under $100,000",100
13304,"$100,000 under $200,000",190
13304,"$200,000 or more",60
13308,Total,"1,560"
13308,"$1 under $25,000",510
13308,"$25,000 under $50,000",460
13308,"$50,000 under $75,000",230
13308,"$75,000 under $100,000",170
13308,"$100,000 under $200,000",190
13308,"$200,000 or more",**
13309,Total,"2,670"
13309,"$1 under $25,000",850
13309,"$25,000 under $50,000",730
13309,"$50,000 under $75,000",470
13309,"$75,000 under $100,000",270
13309,"$100,000 under $200,000",310
13309,"$200,000 or more",40
13310,Total,300
13310,"$1 under $25,000",110
13310,"$25,000 under $50,000",80
13310,"$50,000 under $75,000",40
13310,"$75,000 under $100,000",30
13310,"$100,000 under $200,000",40
13310,"$200,000 or more",**
13314,Total,210
13314,"$1 under $25,000",80
13314,"$25,000 under $50,000",60
13314,"$50,000 under $75,000",20
13314,"$75,000 under $100,000",50
13314,"$100,000 under $200,000",**
13314,"$200,000 or more",**
13315,Total,590
13315,"$1 under $25,000",170
13315,"$25,000 under $50,000",170
13315,"$50,000 under $75,000",90
13315,"$75,000 under $100,000",70
13315,"$100,000 under $200,000",90
13315,"$200,000 or more",**
13316,Total,"2,840"
13316,"$1 under $25,000",900
13316,"$25,000 under $50,000",820
13316,"$50,000 under $75,000",450
13316,"$75,000 under $100,000",300
