"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
10461,"$25,000 under $50,000","6,710"
10461,"$50,000 under $75,000","4,530"
10461,"$75,000 under $100,000","2,360"
10461,"$100,000 under $200,000","3,090"
10461,"$200,000 or more",450
10462,Total,"40,190"
10462,"$1 under $25,000","13,950"
10462,"$25,000 under $50,000","11,770"
10462,"$50,000 under $75,000","7,670"
10462,"$75,000 under $100,000","3,530"
10462,"$100,000 under $200,000","3,040"
10462,"$200,000 or more",230
10463,Total,"34,410"
10463,"$1 under $25,000","10,740"
10463,"$25,000 under $50,000","8,160"
10463,"$50,000 under $75,000","5,570"
10463,"$75,000 under $100,000","3,250"
10463,"$100,000 under $200,000","4,880"
10463,"$200,000 or more","1,810"
10464,Total,"2,180"
10464,"$1 under $25,000",540
10464,"$25,000 under $50,000",370
10464,"$50,000 under $75,000",340
10464,"$75,000 under $100,000",270
10464,"$100,000 under $200,000",460
10464,"$200,000 or more",200
10465,Total,"20,360"
10465,"$1 under $25,000","5,790"
10465,"$25,000 under $50,000","4,660"
10465,"$50,000 under $75,000","3,450"
10465,"$75,000 under $100,000","2,350"
10465,"$100,000 under $200,000","3,380"
10465,"$200,000 or more",730
10466,Total,"33,260"
10466,"$1 under $25,000","12,580"
10466,"$25,000 under $50,000","10,390"
10466,"$50,000 under $75,000","5,340"
10466,"$75,000 under $100,000","2,340"
10466,"$100,000 under $200,000","2,400"
10466,"$200,000 or more",210
10467,Total,"46,150"
10467,"$1 under $25,000","19,180"
10467,"$25,000 under $50,000","14,690"
10467,"$50,000 under $75,000","7,170"
10467,"$75,000 under $100,000","2,730"
10467,"$100,000 under $200,000","2,220"
10467,"$200,000 or more",160
10468,Total,"36,440"
10468,"$1 under $25,000","16,900"
10468,"$25,000 under $50,000","11,840"
10468,"$50,000 under $75,000","4,710"
10468,"$75,000 under $100,000","1,700"
10468,"$100,000 under $200,000","1,200"
10468,"$200,000 or more",90
10469,Total,"33,270"
10469,"$1 under $25,000","11,600"
10469,"$25,000 under $50,000","9,440"
10469,"$50,000 under $75,000","5,570"
10469,"$75,000 under $100,000","2,860"
10469,"$100,000 under $200,000","3,370"
10469,"$200,000 or more",430
10470,Total,"7,810"
10470,"$1 under $25,000","2,480"
10470,"$25,000 under $50,000","2,020"
10470,"$50,000 under $75,000","1,420"
10470,"$75,000 under $100,000",690
10470,"$100,000 under $200,000","1,000"
10470,"$200,000 or more",200
10471,Total,"10,010"
10471,"$1 under $25,000","2,170"
10471,"$25,000 under $50,000","1,520"
10471,"$50,000 under $75,000","1,560"
10471,"$75,000 under $100,000","1,280"
10471,"$100,000 under $200,000","2,180"
10471,"$200,000 or more","1,300"
10472,Total,"29,170"
10472,"$1 under $25,000","13,370"
10472,"$25,000 under $50,000","9,440"
10472,"$50,000 under $75,000","3,900"
10472,"$75,000 under $100,000","1,360"
10472,"$100,000 under $200,000","1,020"
10472,"$200,000 or more",80
10473,Total,"28,860"
10473,"$1 under $25,000","11,010"
10473,"$25,000 under $50,000","8,910"
10473,"$50,000 under $75,000","4,610"
10473,"$75,000 under $100,000","2,120"
10473,"$100,000 under $200,000","2,030"
10473,"$200,000 or more",180
10474,Total,"5,070"
10474,"$1 under $25,000","2,360"
10474,"$25,000 under $50,000","1,730"
10474,"$50,000 under $75,000",640
10474,"$75,000 under $100,000",220
10474,"$100,000 under $200,000",120
10474,"$200,000 or more",**
10475,Total,"22,870"
10475,"$1 under $25,000","6,450"
10475,"$25,000 under $50,000","6,400"
10475,"$50,000 under $75,000","5,010"
10475,"$75,000 under $100,000","2,550"
10475,"$100,000 under $200,000","2,320"
10475,"$200,000 or more",140
10501,Total,700
10501,"$1 under $25,000",160
10501,"$25,000 under $50,000",90
10501,"$50,000 under $75,000",80
10501,"$75,000 under $100,000",70
10501,"$100,000 under $200,000",140
10501,"$200,000 or more",160
10502,Total,"2,830"
10502,"$1 under $25,000",540
10502,"$25,000 under $50,000",270
10502,"$50,000 under $75,000",210
10502,"$75,000 under $100,000",230
10502,"$100,000 under $200,000",650
10502,"$200,000 or more",930
10504,Total,"4,100"
10504,"$1 under $25,000",870
10504,"$25,000 under $50,000",380
10504,"$50,000 under $75,000",310
10504,"$75,000 under $100,000",240
10504,"$100,000 under $200,000",620
10504,"$200,000 or more","1,680"
10505,Total,840
10505,"$1 under $25,000",240
10505,"$25,000 under $50,000",140
10505,"$50,000 under $75,000",100
10505,"$75,000 under $100,000",50
10505,"$100,000 under $200,000",150
10505,"$200,000 or more",160
10506,Total,"2,760"
10506,"$1 under $25,000",600
10506,"$25,000 under $50,000",220
10506,"$50,000 under $75,000",210
10506,"$75,000 under $100,000",150
10506,"$100,000 under $200,000",430
10506,"$200,000 or more","1,150"
10507,Total,"2,700"
10507,"$1 under $25,000",840
10507,"$25,000 under $50,000",470
10507,"$50,000 under $75,000",350
10507,"$75,000 under $100,000",230
10507,"$100,000 under $200,000",420
10507,"$200,000 or more",390
10509,Total,"10,040"
10509,"$1 under $25,000","2,720"
10509,"$25,000 under $50,000","1,720"
10509,"$50,000 under $75,000","1,310"
10509,"$75,000 under $100,000","1,020"
10509,"$100,000 under $200,000","2,210"
10509,"$200,000 or more","1,060"
10510,Total,"4,930"
10510,"$1 under $25,000",940
10510,"$25,000 under $50,000",460
10510,"$50,000 under $75,000",440
10510,"$75,000 under $100,000",320
10510,"$100,000 under $200,000","1,000"
10510,"$200,000 or more","1,770"
10511,Total,"1,190"
10511,"$1 under $25,000",330
10511,"$25,000 under $50,000",200
10511,"$50,000 under $75,000",170
10511,"$75,000 under $100,000",130
10511,"$100,000 under $200,000",250
10511,"$200,000 or more",110
10512,Total,"12,750"
10512,"$1 under $25,000","3,040"
10512,"$25,000 under $50,000","2,220"
10512,"$50,000 under $75,000","1,850"
10512,"$75,000 under $100,000","1,460"
10512,"$100,000 under $200,000","3,060"
10512,"$200,000 or more","1,120"
10514,Total,"5,490"
10514,"$1 under $25,000","1,080"
10514,"$25,000 under $50,000",400
10514,"$50,000 under $75,000",330
10514,"$75,000 under $100,000",270
10514,"$100,000 under $200,000",810
10514,"$200,000 or more","2,600"
10516,Total,"2,750"
10516,"$1 under $25,000",590
10516,"$25,000 under $50,000",410
10516,"$50,000 under $75,000",330
