"","zipcode","n_rats","borough","neighborhood","n_rest","rest_to_rat","rat_to_rest","score_avg","score_to_rat","rat_to_score","population","rat_per_cap","tax_rating","rat_to_tax"
"67","10451",1528,"Bronx","High Bridge and Morrisania",1289,0.843586387434555,1.18541505042669,18.3529868114818,0.0120111170232211,83.2562032379422,49423,0.0309167796370111,1.95823195458232,780.295713398219
"68","10452",2113,"Bronx","High Bridge and Morrisania",938,0.443918599148131,2.25266524520256,22.3304904051173,0.0105681450095207,94.6239854864891,74379,0.0284085561784912,1.78934689507495,1180.87778608826
"69","10453",2354,"Bronx","Central Bronx",901,0.382752761257434,2.6126526082131,23.8146503884573,0.010116673911834,98.8467166891923,78858,0.0298511248066144,1.74703149199794,1347.42848699764
"70","10454",1142,"Bronx","Hunts Point and Mott Haven",877,0.767950963222417,1.30216647662486,20.4572405929304,0.0179135206593086,55.8237556434981,37807,0.0302060464993255,1.79023168440827,637.906260930395
"71","10455",1585,"Bronx","Hunts Point and Mott Haven",1031,0.650473186119874,1.53734238603298,21.0649854510184,0.0132902116410211,75.2433465328299,40300,0.0393300248138958,1.8203335126412,870.719562647754
"72","10456",3197,"Bronx","High Bridge and Morrisania",768,0.24022521113544,4.16276041666667,22.2825520833333,0.00696983174330101,143.475486472273,90479,0.0353341659390577,1.75048262548263,1826.35346015991
"73","10457",2805,"Bronx","Central Bronx",839,0.299108734402852,3.34326579261025,21.1609058402861,0.00754399495197364,132.555762081784,74679,0.037560760053027,1.76308054085832,1590.96532177392
"74","10458",2827,"Bronx","Bronx Park and Fordham",1803,0.637778563848603,1.56794231835829,19.465335551858,0.00688550956910436,145.232533622065,85893,0.0329130429720699,1.83371233655486,1541.68128972252
"75","10459",1948,"Bronx","Hunts Point and Mott Haven",696,0.357289527720739,2.79885057471264,17.933908045977,0.00920631829875617,108.621054318218,48391,0.0402554193961687,1.82644252612449,1066.55422885572
"76","10460",1734,"Bronx","Central Bronx",583,0.336216839677047,2.97427101200686,19.3430531732419,0.0111551633063679,89.6445863261506,57514,0.0301491810689571,1.82030955077388,952.585234342596
"77","10461",671,"Bronx","Southeast Bronx",1368,2.03874813710879,0.490497076023392,19.6959064327485,0.0293530647283883,34.0679928741093,51081,0.013135999686772,2.50805152979066,267.538362760835
"78","10462",1859,"Bronx","Southeast Bronx",1233,0.663259817105971,1.50770478507705,19.9756690997567,0.0107453841311225,93.063215590743,75441,0.0246417730411845,2.26922119930331,819.223793859649
